title,price,mileage,registration_year,previous_owners,fuel_type,body_type,engine,gearbox,doors,seats,emission_class,service_history
mercedes-benz b class,2299,99000,2009,4,diesel,mpv,2.0,manual,5,5,4,unknown
vauxhall insignia,2950,79000,2011,4,petrol,hatchback,1.8,manual,5,5,5,unknown
ford focus,8975,86500,2017,3,diesel,hatchback,1.5,manual,5,5,6,unknown
mercedes-benz a class,15900,62402,2019,1,petrol,hatchback,1.3,automatic,5,5,6,unknown
vauxhall insignia,3450,147000,2016,2,diesel,hatchback,1.6,manual,5,5,6,unknown
bmw 3 series,4000,114121,2006,3,petrol,coupe,3.0,automatic,2,4,4,unknown
renault clio,1899,82000,2009,2,petrol,hatchback,1.2,manual,3,5,5,unknown
peugeot 508,3995,91000,2011,3,diesel,saloon,2.2,automatic,4,5,5,unknown
hyundai i20,5799,69550,2016,3,petrol,coupe,1.2,manual,3,5,6,unknown
saab 9-3,2000,138000,2008,6,petrol,saloon,2.0,automatic,4,5,4,unknown
volkswagen golf,2485,77720,2006,3,petrol,hatchback,1.4,manual,3,5,4,unknown
skoda fabia,1995,84000,2008,3,petrol,hatchback,1.4,manual,5,5,4,unknown
volkswagen golf,2490,59042,2006,3,diesel,hatchback,1.9,manual,5,5,4,unknown
volkswagen polo,3495,127000,2015,3,petrol,hatchback,1.0,manual,3,5,6,unknown
honda civic,9198,78691,2018,3,diesel,hatchback,1.6,manual,5,5,6,unknown
bmw 3 series,19800,69690,2019,1,petrol plug-in hybrid,saloon,2.0,automatic,4,5,6,unknown
vauxhall adam,2745,120000,2014,3,petrol,hatchback,1.4,manual,3,4,5,unknown
peugeot 1007,1990,56817,2008,3,petrol,hatchback,1.4,manual,3,4,4,unknown
nissan micra,1650,85285,2009,3,petrol,hatchback,1.2,manual,5,5,4,unknown
vauxhall corsa,2250,82000,2010,3,petrol,hatchback,1.4,manual,5,5,5,unknown
volkswagen polo,3795,87009,2009,4,petrol,hatchback,1.4,manual,5,5,5,unknown
ford mondeo,5450,69756,2012,4,diesel,hatchback,2.2,manual,5,5,5,unknown
audi a6 avant,2600,234680,2011,1,diesel,estate,2.0,manual,5,5,5,unknown
bmw 3 series,2999,77708,2001,7,petrol,coupe,2.2,manual,2,5,3,unknown
vauxhall meriva,1990,68840,2011,4,petrol,mpv,1.4,manual,5,5,5,unknown
ford focus,798,140599,2008,3,petrol,hatchback,1.6,manual,5,5,4,unknown
bmw 3 series,19800,69690,2019,1,petrol plug-in hybrid,saloon,2.0,automatic,4,5,6,unknown
ford focus,8975,86500,2017,3,diesel,hatchback,1.5,manual,5,5,6,unknown
ford focus,2395,109000,2009,3,petrol,hatchback,1.8,manual,5,5,4,unknown
bmw 3 series,1789,119300,2002,3,petrol,saloon,2.2,manual,4,5,3,unknown
mercedes-benz b class,5995,78000,2013,3,diesel,mpv,1.8,automatic,5,5,5,unknown
nissan qashqai,3795,120090,2011,2,petrol,suv,1.6,manual,5,5,5,unknown
nissan almera tino,990,93000,2004,3,petrol,mpv,1.8,manual,5,5,3,unknown
mercedes-benz c class,3100,140000,2012,2,diesel,coupe,2.1,manual,2,4,5,unknown
ford ka,1950,88000,2009,3,petrol,hatchback,1.2,manual,3,4,4,unknown
vauxhall corsa,2250,77000,2009,7,petrol,hatchback,1.2,manual,5,5,4,unknown
skoda fabia,2495,124138,2011,3,petrol,hatchback,1.2,automatic,5,5,5,unknown
renault megane,2495,101347,2011,2,petrol,estate,1.6,manual,5,5,5,unknown
ford focus,798,140599,2008,3,petrol,hatchback,1.6,manual,5,5,4,unknown
ford focus,8975,86500,2017,3,diesel,hatchback,1.5,manual,5,5,6,unknown
vauxhall corsa,10698,22782,2020,3,petrol,hatchback,1.2,manual,5,5,6,unknown
bmw 1 series,2999,107000,2009,5,petrol,hatchback,1.6,automatic,3,4,4,unknown
mercedes-benz c class,2495,130000,2007,3,petrol,saloon,1.8,automatic,4,5,4,unknown
saab 9-3,2299,67200,2003,3,petrol,saloon,2.0,manual,4,5,3,full
toyota yaris,1750,113500,2010,3,petrol,hatchback,1.0,manual,5,5,4,unknown
mini hatch,3100,68160,2010,4,petrol,hatchback,1.4,manual,3,4,4,unknown
toyota avensis,1595,106717,2006,3,petrol,hatchback,1.8,manual,5,5,4,unknown
honda civic,2300,86276,2004,3,petrol hybrid,saloon,1.3,manual,4,5,4,unknown
vauxhall astra,2495,75000,2006,2,petrol,hatchback,1.8,automatic,5,5,4,full
ford focus,1950,127569,2010,6,petrol,hatchback,1.6,manual,5,5,4,unknown
audi a3,1675,127000,2008,7,petrol,hatchback,1.6,manual,3,5,4,unknown
